,start,end,duration_mins,cluster,implicated_vars,z_scores
0,2017-06-05 13:50:00,2017-06-05 14:05:00,15.0,0,"Cyclone_Inlet_Gas_Temp, Cyclone_Gas_Outlet_Temp","Cyclone_Inlet_Gas_Temp: 3.95, Cyclone_Gas_Outlet_Temp: 3.95"
1,2017-11-16 19:15:00,2017-11-16 19:30:00,15.0,0,"Cyclone_Inlet_Draft, Cyclone_Outlet_Gas_draft","Cyclone_Inlet_Draft: 7.47, Cyclone_Outlet_Gas_draft: 5.37"
2,2018-02-22 12:20:00,2018-02-22 12:35:00,15.0,0,"Cyclone_cone_draft, Cyclone_Inlet_Draft","Cyclone_cone_draft: 2.88, Cyclone_Inlet_Draft: 2.50"
3,2018-03-02 17:10:00,2018-03-02 17:20:00,10.0,0,"Cyclone_Inlet_Draft, Cyclone_cone_draft","Cyclone_Inlet_Draft: 3.97, Cyclone_cone_draft: 3.51"
4,2018-03-12 16:55:00,2018-03-12 17:05:00,10.0,0,"Cyclone_Gas_Outlet_Temp, Cyclone_Inlet_Gas_Temp","Cyclone_Gas_Outlet_Temp: 6.33, Cyclone_Inlet_Gas_Temp: 3.12"
5,2018-03-16 06:00:00,2018-03-16 06:10:00,10.0,0,"Cyclone_Gas_Outlet_Temp, Cyclone_Inlet_Gas_Temp","Cyclone_Gas_Outlet_Temp: 8.96, Cyclone_Inlet_Gas_Temp: 2.64"
6,2018-03-16 18:05:00,2018-03-16 18:20:00,15.0,0,"Cyclone_Gas_Outlet_Temp, Cyclone_Inlet_Gas_Temp","Cyclone_Gas_Outlet_Temp: 9.09, Cyclone_Inlet_Gas_Temp: 4.04"
7,2018-04-17 03:05:00,2018-04-17 03:30:00,25.0,0,"Cyclone_Outlet_Gas_draft, Cyclone_Inlet_Draft","Cyclone_Outlet_Gas_draft: 5.13, Cyclone_Inlet_Draft: 4.53"
8,2018-04-21 07:50:00,2018-04-21 08:10:00,20.0,0,"Cyclone_Gas_Outlet_Temp, Cyclone_Inlet_Gas_Temp","Cyclone_Gas_Outlet_Temp: 5.53, Cyclone_Inlet_Gas_Temp: 3.45"
9,2018-04-22 22:40:00,2018-04-22 22:50:00,10.0,0,"Cyclone_Gas_Outlet_Temp, Cyclone_Inlet_Gas_Temp","Cyclone_Gas_Outlet_Temp: 4.61, Cyclone_Inlet_Gas_Temp: 2.05"
10,2018-04-24 04:05:00,2018-04-24 04:20:00,15.0,0,"Cyclone_Gas_Outlet_Temp, Cyclone_Material_Temp","Cyclone_Gas_Outlet_Temp: 5.22, Cyclone_Material_Temp: 2.66"
11,2018-04-24 19:25:00,2018-04-24 19:50:00,25.0,0,"Cyclone_Gas_Outlet_Temp, Cyclone_Inlet_Gas_Temp","Cyclone_Gas_Outlet_Temp: 6.09, Cyclone_Inlet_Gas_Temp: 3.59"
12,2018-05-18 14:00:00,2018-05-18 14:15:00,15.0,0,"Cyclone_Gas_Outlet_Temp, Cyclone_Inlet_Draft","Cyclone_Gas_Outlet_Temp: 9.03, Cyclone_Inlet_Draft: 2.36"
13,2018-05-30 11:50:00,2018-05-30 12:00:00,10.0,0,"Cyclone_Outlet_Gas_draft, Cyclone_Inlet_Draft","Cyclone_Outlet_Gas_draft: 3.68, Cyclone_Inlet_Draft: 3.45"
14,2018-05-30 13:15:00,2018-05-30 13:40:00,25.0,0,"Cyclone_Outlet_Gas_draft, Cyclone_Inlet_Draft","Cyclone_Outlet_Gas_draft: 3.45, Cyclone_Inlet_Draft: 3.18"
15,2018-05-30 14:20:00,2018-05-30 14:50:00,30.0,0,"Cyclone_Outlet_Gas_draft, Cyclone_Inlet_Draft","Cyclone_Outlet_Gas_draft: 4.70, Cyclone_Inlet_Draft: 4.49"
16,2018-05-31 07:55:00,2018-05-31 08:20:00,25.0,0,"Cyclone_Inlet_Gas_Temp, Cyclone_Outlet_Gas_draft","Cyclone_Inlet_Gas_Temp: 3.51, Cyclone_Outlet_Gas_draft: 3.12"
17,2018-05-31 09:40:00,2018-05-31 10:00:00,20.0,0,"Cyclone_Inlet_Gas_Temp, Cyclone_Material_Temp","Cyclone_Inlet_Gas_Temp: 6.78, Cyclone_Material_Temp: 4.42"
18,2018-05-31 15:10:00,2018-05-31 15:25:00,15.0,0,"Cyclone_Gas_Outlet_Temp, Cyclone_Outlet_Gas_draft","Cyclone_Gas_Outlet_Temp: 3.96, Cyclone_Outlet_Gas_draft: 2.54"
19,2018-06-02 06:40:00,2018-06-02 07:05:00,25.0,0,"Cyclone_Outlet_Gas_draft, Cyclone_Inlet_Draft","Cyclone_Outlet_Gas_draft: 3.74, Cyclone_Inlet_Draft: 3.49"
20,2018-06-02 09:50:00,2018-06-02 10:10:00,20.0,0,"Cyclone_Inlet_Draft, Cyclone_Outlet_Gas_draft","Cyclone_Inlet_Draft: 7.01, Cyclone_Outlet_Gas_draft: 6.36"
21,2018-06-12 03:45:00,2018-06-12 04:40:00,55.0,0,"Cyclone_Inlet_Gas_Temp, Cyclone_Material_Temp","Cyclone_Inlet_Gas_Temp: 3.81, Cyclone_Material_Temp: 2.83"
22,2018-06-12 05:10:00,2018-06-12 05:25:00,15.0,0,"Cyclone_Inlet_Gas_Temp, Cyclone_Material_Temp","Cyclone_Inlet_Gas_Temp: 3.41, Cyclone_Material_Temp: 2.61"
23,2018-06-15 13:30:00,2018-06-15 14:25:00,55.0,0,"Cyclone_Inlet_Draft, Cyclone_Outlet_Gas_draft","Cyclone_Inlet_Draft: 4.64, Cyclone_Outlet_Gas_draft: 4.55"
